Sequence_ID,Cluster,Novelty,Confidence,Category,Function
Sequence_272,0,0.1233,0.8396,Known-like,Unknown/General
Sequence_273,0,0.1482,0.8246,Known-like,Unknown/General
Sequence_274,0,0.5536,0.6387,Similar,Unknown/General
Sequence_275,0,0.436,0.6834,Known-like,Unknown/General
Sequence_276,0,0.3798,0.707,Known-like,Unknown/General
Sequence_277,0,0.4497,0.6779,Similar,Unknown/General
Sequence_278,0,0.5026,0.6573,Similar,Unknown/General
Sequence_279,0,0.0,0.9228,Known-like,Unknown/General
Sequence_280,0,0.2701,0.7582,Known-like,Unknown/General
Sequence_281,0,0.3282,0.7303,Known-like,Unknown/General
Sequence_282,0,0.1735,0.8099,Known-like,Unknown/General
Sequence_283,0,0.576,0.6308,Similar,AT-rich (structural)
Sequence_284,0,0.3801,0.7069,Known-like,Unknown/General
Sequence_285,0,0.6068,0.6203,Similar,Unknown/General
Sequence_286,0,0.3696,0.7115,Known-like,Unknown/General
Sequence_287,0,0.2143,0.7873,Known-like,Unknown/General
Sequence_288,0,0.2376,0.7749,Known-like,Unknown/General
Sequence_289,0,0.351,0.7198,Known-like,Unknown/General
Sequence_290,0,0.4641,0.6721,Similar,Unknown/General
Sequence_291,0,0.0922,0.8592,Known-like,Unknown/General
Sequence_292,0,0.3329,0.728,Known-like,Unknown/General
Sequence_293,0,0.1293,0.836,Known-like,Unknown/General
Sequence_294,0,0.1236,0.8395,Known-like,Unknown/General
Sequence_295,0,0.3786,0.7076,Known-like,Unknown/General
Sequence_296,0,0.4111,0.6937,Known-like,Unknown/General
Sequence_297,0,0.5159,0.6524,Similar,Unknown/General
Sequence_298,0,0.4538,0.6762,Similar,Unknown/General
Sequence_299,0,0.5401,0.6435,Similar,Unknown/General
Sequence_300,0,0.7232,0.5836,Similar,Unknown/General
Sequence_301,0,0.2115,0.7888,Known-like,Unknown/General
Sequence_302,0,0.1926,0.7992,Known-like,Unknown/General
Sequence_303,0,0.1879,0.8018,Known-like,Unknown/General
Sequence_304,0,0.1144,0.8451,Known-like,Unknown/General
Sequence_305,0,0.1997,0.7952,Known-like,Unknown/General
Sequence_306,0,0.1196,0.8419,Known-like,Unknown/General
Sequence_307,0,0.4563,0.6752,Similar,Unknown/General
Sequence_308,0,0.0,0.9228,Known-like,Unknown/General
Sequence_309,0,0.1452,0.8264,Known-like,Unknown/General
Sequence_310,0,0.3586,0.7164,Known-like,Unknown/General
Sequence_311,0,0.1041,0.8516,Known-like,Unknown/General
Sequence_312,0,0.1566,0.8197,Known-like,Unknown/General
Sequence_313,0,0.5235,0.6496,Similar,Unknown/General
Sequence_314,0,0.1226,0.8401,Known-like,Unknown/General
Sequence_315,0,0.4765,0.6673,Similar,Unknown/General
Sequence_316,0,0.7029,0.5897,Similar,Unknown/General
Sequence_317,0,0.211,0.7891,Known-like,Unknown/General
Sequence_318,0,0.3903,0.7025,Known-like,Unknown/General
Sequence_319,0,0.4628,0.6727,Similar,Unknown/General
Sequence_320,0,0.2203,0.784,Known-like,Unknown/General
Sequence_321,0,0.4666,0.6712,Similar,Unknown/General
Sequence_322,0,0.2988,0.7442,Known-like,Unknown/General
Sequence_323,0,0.4059,0.6959,Known-like,Unknown/General
Sequence_324,0,0.322,0.7331,Known-like,Unknown/General
Sequence_325,0,0.4113,0.6936,Known-like,Unknown/General
Sequence_326,0,0.3593,0.7161,Known-like,Unknown/General
Sequence_327,0,0.0999,0.8543,Known-like,Unknown/General
Sequence_328,0,0.2255,0.7813,Known-like,Unknown/General
Sequence_329,0,0.1242,0.8391,Known-like,Unknown/General
Sequence_330,0,0.3637,0.7141,Known-like,Unknown/General
Sequence_331,0,0.4674,0.6709,Similar,Unknown/General
Sequence_332,0,0.4324,0.6849,Known-like,Unknown/General
Sequence_333,0,0.3673,0.7125,Known-like,Unknown/General
Sequence_334,0,0.1716,0.811,Known-like,Unknown/General
Sequence_335,0,0.2484,0.7693,Known-like,Unknown/General
Sequence_336,0,0.5147,0.6528,Similar,Unknown/General
Sequence_337,0,0.206,0.7918,Known-like,Unknown/General
Sequence_338,0,0.5506,0.6398,Similar,Unknown/General
Sequence_339,0,0.1729,0.8103,Known-like,Unknown/General
Sequence_340,0,0.2161,0.7863,Known-like,Unknown/General
Sequence_341,0,0.3272,0.7307,Known-like,Unknown/General
Sequence_342,0,0.2205,0.7839,Known-like,Unknown/General
Sequence_343,2,0.955,0.5221,Potentially novel,Bioactive-like
Sequence_344,0,0.3429,0.7235,Known-like,Unknown/General
Sequence_345,0,0.2208,0.7838,Known-like,Unknown/General
Sequence_346,0,0.2082,0.7906,Known-like,Unknown/General
Sequence_347,0,0.6297,0.6128,Similar,Unknown/General
Sequence_348,0,0.1242,0.8391,Known-like,Unknown/General
Sequence_349,0,0.49,0.6621,Similar,Unknown/General
Sequence_350,0,0.3742,0.7095,Known-like,Unknown/General
Sequence_351,0,0.4098,0.6942,Known-like,Unknown/General
Sequence_352,0,0.2337,0.777,Known-like,Unknown/General
Sequence_353,0,0.2879,0.7495,Known-like,Unknown/General
Sequence_354,0,0.2065,0.7915,Known-like,Unknown/General
Sequence_355,0,0.3586,0.7164,Known-like,Unknown/General
Sequence_356,0,0.3374,0.726,Known-like,Unknown/General
Sequence_357,0,0.7808,0.5671,Similar,Unknown/General
Sequence_358,0,0.1277,0.8369,Known-like,Unknown/General
Sequence_359,0,0.308,0.7398,Known-like,Unknown/General
Sequence_360,0,0.2654,0.7606,Known-like,Unknown/General
Sequence_361,0,0.3686,0.7119,Known-like,Unknown/General
Sequence_362,0,0.2901,0.7484,Known-like,Unknown/General
Sequence_363,0,0.4121,0.6933,Known-like,Unknown/General
Sequence_364,0,0.3657,0.7132,Known-like,Unknown/General
Sequence_365,0,0.437,0.683,Known-like,Unknown/General
Sequence_366,0,0.4025,0.6973,Known-like,Unknown/General
Sequence_367,0,0.4872,0.6632,Similar,Unknown/General
Sequence_368,0,0.0744,0.8708,Known-like,Unknown/General
Sequence_369,0,0.0,0.9228,Known-like,Unknown/General
Sequence_370,0,0.2711,0.7577,Known-like,Unknown/General
Sequence_371,0,0.3199,0.7341,Known-like,Unknown/General
Sequence_372,0,0.5065,0.6559,Similar,Unknown/General
Sequence_373,0,0.5162,0.6523,Similar,AT-rich (structural)
Sequence_374,0,0.1159,0.8442,Known-like,Unknown/General
Sequence_375,0,0.1518,0.8225,Known-like,Unknown/General
Sequence_376,0,0.2394,0.774,Known-like,Unknown/General
Sequence_377,0,0.2646,0.761,Known-like,Unknown/General
Sequence_378,0,0.616,0.6173,Similar,Unknown/General
Sequence_379,0,0.1422,0.8282,Known-like,Unknown/General
Sequence_380,0,0.4829,0.6648,Similar,Unknown/General
Sequence_381,0,0.856,0.5467,Potentially novel,Unknown/General
Sequence_382,0,0.2556,0.7656,Known-like,Unknown/General
Sequence_383,0,0.4113,0.6936,Known-like,Unknown/General
