Sequence_66, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_67, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_68, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_69, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_70, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_71, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_72, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_73, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_74, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_75, Cluster_0, Distance_0.1918, Novelty_0.1242, Confidence_0.8391, Known-like
Sequence_76, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_77, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_78, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_79, Cluster_0, Distance_0.1658, Novelty_0.0944, Confidence_0.8578, Known-like
Sequence_80, Cluster_0, Distance_0.1864, Novelty_0.1180, Confidence_0.8429, Known-like
Sequence_81, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_82, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_83, Cluster_0, Distance_0.1962, Novelty_0.1293, Confidence_0.8360, Known-like
Sequence_84, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_85, Cluster_0, Distance_0.1892, Novelty_0.1213, Confidence_0.8409, Known-like
Sequence_86, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_87, Cluster_0, Distance_0.2091, Novelty_0.1441, Confidence_0.8271, Known-like
Sequence_88, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_89, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_90, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_91, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_92, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_93, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_94, Cluster_0, Distance_0.1910, Novelty_0.1233, Confidence_0.8396, Known-like
Sequence_95, Cluster_0, Distance_0.1496, Novelty_0.0757, Confidence_0.8699, Known-like
Sequence_96, Cluster_0, Distance_0.2067, Novelty_0.1414, Confidence_0.8287, Known-like
Sequence_97, Cluster_0, Distance_0.1587, Novelty_0.0863, Confidence_0.8630, Known-like
Sequence_98, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_99, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_100, Cluster_0, Distance_0.1892, Novelty_0.1213, Confidence_0.8409, Known-like
Sequence_101, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_102, Cluster_0, Distance_0.1877, Novelty_0.1195, Confidence_0.8420, Known-like
Sequence_103, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_104, Cluster_0, Distance_0.1892, Novelty_0.1213, Confidence_0.8409, Known-like
Sequence_105, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_106, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_107, Cluster_0, Distance_0.1910, Novelty_0.1233, Confidence_0.8396, Known-like
